#{"t_start": 1634011350.8532403, "env_id": null}
r,l,t
-0.1,1,653.468029
-0.1,4,653.46806
-0.1,2,658.869455
-0.1,3,658.869634
1.0,3,658.869665
-0.1,2,658.869685
0.0,10,658.869703
-0.1,9,661.835595
0.0,5,661.835713
-0.1,1,665.026375
-0.1,2,665.026486
-0.1,9,665.026519
-0.1,7,667.631644
-0.1,3,667.631748
-0.1,1,667.631781
-0.1,4,670.766001
-0.1,7,670.766092
-0.1,2,670.76612
-0.1,1,670.76614
-0.1,1,670.766157
0.0,5,673.178962
-0.1,1,673.179075
-0.1,1,673.179111
-0.1,11,676.331299
0.0,8,676.331498
-0.1,5,679.608501
-0.1,3,679.608607
-0.1,3,679.60864
-0.1,2,679.608667
-0.1,4,679.608694
-0.1,3,679.608719
-0.1,2,679.608743
0.0,7,679.608767
-0.1,1,682.328656
-0.1,1,682.328786
-0.1,1,682.328822
-0.1,1,682.328849
-0.1,2,682.328874
-0.1,1,682.328898
0.0,7,682.328922
-0.1,1,682.328946
-0.1,1,685.382988
-0.1,2,685.383097
-0.1,3,685.383128
-0.1,1,685.383154
-0.1,1,685.383177
-0.1,1,688.423451
-0.1,1,688.423565
0.0,5,688.423598
-0.1,3,688.423625
-0.1,2,688.42365
-0.1,1,691.532083
-0.1,2,691.532242
-0.1,3,691.532281
-0.1,1,691.532307
-0.1,3,691.53233
-0.1,1,691.532354
-0.1,3,694.706039
-0.1,3,694.70616
-0.1,1,694.706195
-0.1,1,694.706222
-0.1,1,694.706248
-0.1,2,694.706272
-0.1,1,694.706296
0.0,5,697.729629
-0.1,2,697.729744
-0.1,1,697.729781
0.0,5,697.729809
0.0,3,697.729834
-0.1,1,701.019765
-0.1,2,701.019878
-0.1,2,703.955236
-0.1,4,703.955347
-0.1,3,703.955381
-0.1,2,703.955408
-0.1,2,703.955431
-0.1,1,706.53328
-0.1,1,706.533397
-0.1,4,706.53343
-0.1,1,709.007094
0.0,5,709.007212
0.0,4,709.007248
-0.1,2,709.007278
-0.1,4,712.034688
0.0,6,712.034805
-0.1,1,712.03484
-0.1,1,712.034867
-0.1,3,712.034891
-0.1,1,714.569901
0.0,5,714.570006
-0.1,1,714.570039
-0.1,3,717.454776
-0.1,1,717.455143
-0.1,1,717.455213
0.0,5,717.455236
-0.1,8,717.455256
-0.1,1,720.267998
-0.1,1,720.268102
-0.1,5,720.268133
-0.1,5,723.655543
-0.1,2,723.655632
-0.1,4,723.655669
-0.1,4,723.655691
-0.1,3,726.110709
-0.1,1,726.110838
-0.1,4,726.110889
-0.1,1,726.110916
-0.1,1,728.977759
-0.1,3,728.97787
-0.1,8,728.977903
-0.1,4,728.97793
-0.1,1,728.977955
-0.1,1,732.064846
-0.1,1,732.064947
-0.1,1,732.064977
-0.1,1,732.065002
-0.1,3,732.065024
-0.1,3,734.983274
0.0,4,734.983396
-0.1,1,734.98343
-0.1,1,734.983457
-0.1,5,734.983482
-0.1,1,734.983505
-0.1,1,734.983529
0.0,8,734.983552
-0.1,1,737.947014
-0.1,1,737.947131
-0.1,4,737.947164
-0.1,2,737.947191
-0.1,6,737.947215
-0.1,1,737.947238
-0.1,1,740.559822
-0.1,4,740.55994
-0.1,2,740.559974
-0.1,2,743.926759
-0.1,2,743.926867
-0.1,3,743.926901
-0.1,3,743.926926
-0.1,1,743.926949
-0.1,1,743.926971
-0.1,3,746.928545
-0.1,1,746.928652
-0.1,1,746.928684
-0.1,4,746.928709
-0.1,1,746.928732
-0.1,1,746.928755
-0.1,1,746.928777
1.0,3,746.928799
-0.1,3,746.928822
-0.1,1,750.075327
-0.1,1,750.075436
-0.1,1,750.075469
-0.1,1,750.075493
-0.1,1,750.075515
-0.1,2,752.359934
-0.1,2,752.360087
-0.1,1,752.360139
-0.1,2,752.360182
-0.1,1,752.360219
-0.1,1,754.890941
-0.1,1,754.89105
0.0,5,754.891084
-0.1,1,754.891109
-0.1,7,754.891134
-0.1,2,754.891157
-0.1,3,757.7737
-0.1,6,760.723933
-0.1,3,760.724039
-0.1,1,760.724072
-0.1,2,760.724097
0.0,3,763.802138
