#{"t_start": 1633963716.4191632, "env_id": null}
r,l,t
-0.1,1,464.912266
-0.1,1,464.91229
-0.1,2,464.912315
-0.1,1,464.912339
-0.1,1,464.912364
0.0,2,464.912388
-0.1,1,468.429337
-0.1,1,468.429455
-0.1,1,468.429493
-0.1,1,468.429524
-0.1,1,468.429551
-0.1,1,468.429578
-0.1,1,468.429604
-0.1,2,468.42963
-0.1,1,468.429656
-0.1,1,472.071188
-0.1,1,472.07141
-0.1,2,472.071489
-0.1,1,472.07155
-0.1,1,472.071609
-0.1,1,472.071664
-0.1,1,472.071718
-0.1,1,475.693526
-0.1,2,475.693616
-0.1,1,475.693728
-0.1,1,475.693755
-0.1,5,475.693774
-0.1,2,475.69379
-0.1,1,475.693806
-0.1,1,475.693822
-0.1,2,475.693837
-0.1,1,479.262441
-0.1,1,479.262557
-0.1,1,479.262592
-0.1,1,479.262621
-0.1,1,479.262646
-0.1,2,479.262671
-0.1,1,479.262696
-0.1,4,479.262719
-0.1,1,479.262743
-0.1,1,483.07969
-0.1,1,483.079818
-0.1,1,483.079853
-0.1,1,483.079881
-0.1,3,483.079906
-0.1,2,483.07993
-0.1,1,483.079953
-0.1,1,486.722846
-0.1,1,486.722965
1.0,2,486.723001
-0.1,1,486.723029
-0.1,1,486.723055
-0.1,3,486.72308
-0.1,2,486.723104
-0.1,1,486.723127
-0.1,2,486.723151
-0.1,1,490.16358
-0.1,1,490.163706
0.0,2,490.163742
-0.1,1,490.163769
-0.1,1,490.163793
-0.1,1,490.163818
-0.1,1,493.678674
-0.1,1,493.678797
-0.1,2,493.678833
-0.1,1,493.678862
-0.1,1,493.678888
-0.1,3,493.678912
-0.1,2,493.678936
-0.1,4,493.678961
-0.1,1,493.678984
-0.1,2,493.679008
-0.1,1,497.309344
-0.1,1,497.309464
-0.1,1,497.309501
0.0,3,497.309547
-0.1,1,497.309574
-0.1,1,497.309598
-0.1,1,497.309622
-0.1,1,497.309645
-0.1,1,497.309668
-0.1,3,500.900507
-0.1,1,500.900621
-0.1,1,500.900655
-0.1,1,500.900684
-0.1,2,500.90071
-0.1,1,500.900735
-0.1,1,500.900759
-0.1,1,500.900782
-0.1,1,504.492682
-0.1,1,504.492802
-0.1,1,504.492836
-0.1,1,504.492863
-0.1,2,504.492887
-0.1,2,508.126998
-0.1,2,508.127114
-0.1,1,508.127148
-0.1,4,508.127174
0.0,3,508.127199
-0.1,1,508.127223
-0.1,2,508.127258
-0.1,1,508.127281
-0.1,1,508.127305
-0.1,1,511.606561
-0.1,1,511.606683
-0.1,1,511.606718
-0.1,1,511.606745
-0.1,1,511.60677
1.0,5,515.456492
-0.1,4,515.45661
-0.1,1,515.456647
-0.1,1,515.456674
-0.1,2,515.456699
0.0,2,515.456723
-0.1,1,515.456747
-0.1,1,515.456769
-0.1,2,515.456792
-0.1,1,515.456815
-0.1,1,519.2129
-0.1,1,519.213023
-0.1,1,519.213058
-0.1,1,519.213086
-0.1,1,519.21311
-0.1,1,519.213134
-0.1,1,519.213157
-0.1,1,519.21318
-0.1,1,519.213203
-0.1,1,522.763544
-0.1,5,522.763666
0.0,4,522.7637
-0.1,1,522.763727
-0.1,1,522.763752
-0.1,2,522.763776
-0.1,1,522.763799
